locationId,locationType,name,regionId
3763,PORT,"Algoma, WI",3
3503,PORT,"Algonac, MI",3
3617,PORT,"Alpena, MI",3
3863,PORT,"Ashland, WI",3
3219,PORT,"Ashtabula, OH",3
3234,PORT,"Barcelona, NY",3
3865,PORT,"Bayfield, WI",3
3846,PORT,"Big Bay Harbor, MI",3
3861,PORT,"Black River Harbor, MI",3
3226,PORT,"Buffalo Harbor, NY",3
3230,PORT,"Buffalo, NY",3
3737,PORT,"Buffington, IN",3
3739,PORT,"Burns Waterway Harbor, IN",3
3620,PORT,"Calcite, MI",3
3116,PORT,"Cape Vincent, NY",3
3632,PORT,"Caseville, MI",3
3804,PORT,"Cedar River Harbor, MI",3
3706,PORT,"Charlevoix, MI",3
3621,PORT,"Cheboygan, MI",3
3747,PORT,"Chicago Harbor, IL",3
3749,PORT,"Chicago, IL",3
3935,PORT,"Chippewa, MI",3
3217,PORT,"Cleveland, OH",3
3498,PORT,"Clinton River, Michigan",3
3220,PORT,"Conneaut, OH",3
3920,PORT,"Cornucopia, WI",3
3812,PORT,"Detour, MI",3
3318,PORT,"Detroit Harbor, MI",3
3769,PORT,"Detroit Harbor, WI",3
3321,PORT,"Detroit, MI",3
3813,PORT,"Drummond Island, MI",3
3924,PORT,"Duluth-Superior, MN and WI",3
3222,PORT,"Dunkirk, NY",3
3859,PORT,"Eagle Harbor, MI",3
3312,PORT,"Ecorse, MI",3
3221,PORT,"Erie, PA",3
3795,PORT,"Escanaba, MI",3
3218,PORT,"Fairport Harbor, OH",3
3718,PORT,"Frankfort, MI",3
3736,PORT,"Gary, IN",3
3797,PORT,"Gladstone, MI",3
3728,PORT,"Grand Haven, MI",3
3842,PORT,"Grand Marais Harbor (Harbor of Refuge), MI",3
3931,PORT,"Grand Marais, MN",3
3857,PORT,"Grand Traverse Bay, MI",3
3778,PORT,"Green Bay, WI",3
3602,PORT,"Harbor Beach, MI",3
3614,PORT,"Harrisville, MI",3
3730,PORT,"Holland, MI",3
3214,PORT,"Huron, OH",3
3738,PORT,"Indiana Harbor, IN",3
3117,PORT,"Irondequoit Bay Harbor, New York",3
3210,PORT,"Kelleys Island, OH",3
3753,PORT,"Kenosha, WI",3
3762,PORT,"Kewaunee, WI",3
3925,PORT,"Knife River Harbor, MN",3
3864,PORT,"La Pointe, WI",3
3858,PORT,"Lac La Belle, MI",3
3742,PORT,"Lake Calumet, IL",3
3716,PORT,"Leland, MI",3
3815,PORT,"Lime Island, MI",3
3216,PORT,"Lorain, OH",3
3722,PORT,"Ludington, MI",3
3624,PORT,"Mackinac, MI",3
3622,PORT,"Mackinaw City, MI",3
3720,PORT,"Manistee, MI",3
3799,PORT,"Manistique, MI",3
3760,PORT,"Manitowoc, WI",3
3212,PORT,"Marblehead, OH",3
3506,PORT,"Marine City, MI",3
3844,PORT,"Marquette, MI",3
3512,PORT,"Marysville, MI",3
3793,PORT,"Menominee, MI and WI",3
3735,PORT,"Michigan City, IN",3
3756,PORT,"Milwaukee, WI",3
3202,PORT,"Monroe, MI",3
3725,PORT,"Muskegon, MI",3
3744,PORT,"New Buffalo, MI",3
3231,PORT,"Niagara Falls, NY",3
3224,PORT,"Niagara River, NY",3
3790,PORT,"Oconto, WI",3
3008,PORT,"Ogdensburg, NY",3
3860,PORT,"Ontonagon, MI",3
3631,PORT,"Oscoda, MI",3
3112,PORT,"Oswego, NY",3
3791,PORT,"Pensaukee, WI",3
3723,PORT,"Pentwater, MI",3
3205,PORT,"Port Clinton, OH",3
3627,PORT,"Port Dolomite, MI",3
3515,PORT,"Port Huron, MI",3
3803,PORT,"Port Inland, MI",3
3634,PORT,"Port Sanilac, MI",3
3758,PORT,"Port Washington, WI",3
3921,PORT,"Port Wing, WI",3
3845,PORT,"Presque Isle, MI",3
3207,PORT,"Put-In-Bay, OH",3
3754,PORT,"Racine, WI",3
3106,PORT,"Rochester, NY",3
3635,PORT,"Rogers City, MI",3
3315,PORT,"Rouge River, MI",3
3114,PORT,"Sackets Harbor, NY",3
3603,PORT,"Saginaw River, MI",3
3213,PORT,"Sandusky, OH",3
3731,PORT,"Saugatuck, MI",3
3817,PORT,"Sault Ste Marie, MI",3
3636,PORT,"Sebewaing, MI",3
3759,PORT,"Sheboygan, WI",3
3928,PORT,"Silver Bay, MN",3
3108,PORT,"Sodus, NY",3
3732,PORT,"South Haven, MI",3
3509,PORT,"St. Clair, MI",3
3702,PORT,"St. James, MI",3
3733,PORT,"St. Joseph, MI",3
3619,PORT,"Stoneport, MI",3
3775,PORT,"Sturgeon Bay, WI",3
3999,PORT,"Table 3-Net Summary of Foreign and Domestic Freight Carried on the Great Lakes, by type of Traffic and Commodity",3
3929,PORT,"Taconite, MN",3
3204,PORT,"Toledo, OH",3
3714,PORT,"Traverse City, MI",3
3303,PORT,"Trenton, MI",3
3926,PORT,"Two Harbors, MN",3
3761,PORT,"Two Rivers, WI",3
3215,PORT,"Vermilion, OH",3
3010,PORT,"Waddington, NY",3
3944,PORT,"Warroad, MN",3
3752,PORT,"Waukegan, IL",3
3724,PORT,"White Lake Harbor, MI",3
3840,PORT,"Whitefish Point Harbor, MI",3
3309,PORT,"Wyandotte, MI",3
