PortID,PortName
505,"Albany, NY"
718,"Alexandria, VA"
715,"Anacostia River, DC"
727,"Annapolis, MD"
194,"Apponaug Cove, RI"
785,"Atlantic Beach Channels, NC"
770,"Avon, NC"
491,"Back Creek, Anne Arundel County, MD"
700,"Baltimore, MD"
105,"Bar Harbor, ME"
108,"Bass Harbor, ME"
362,"Bay Ridge and Red Hook Channels, NY"
102,"Beals Harbor, ME"
763,"Beaufort, NC"
115,"Belfast, ME"
761,"Belhaven, NC"
887,"Betterton, MD"
145,"Beverly, MA"
434,"Bivalve, MD"
709,"Black Walnut Harbor, MD"
199,"Block Island, RI, Harbor of Refuge"
1239,"Bonum Creek, VA"
125,"Boothbay Harbor, ME"
149,"Boston, MA"
150,"Boston, MA Main Waterfront"
1323,"Bourne, MA"
308,"Branford, CT"
311,"Bridgeport, CT"
190,"Bristol, RI"
353,"Bronx River, NY"
780,"Brunswick, GA"
110,"Bucksport, ME"
1023,"Bunker, ME"
509,"Burlington, VT"
359,"Buttermilk Channel, NY"
711,"Cambridge, MD"
116,"Camden, ME"
551,"Camden-Gloucester, NJ"
732,"Cape Charles, VA"
131,"Cape Porpoise, ME"
1269,"Carvers Harbor, ME"
773,"Charleston, SC"
175,"Chatham, MA"
152,"Chelsea River, MA"
297,"Chester, PA"
1334,"Chincoteague, VA Harbor of Refuge, VA"
707,"Claiborne, MD"
306,"Clinton, CT"
166,"Cohasset, MA"
364,"Coney Island Creek, NY"
103,"Corea Harbor, ME"
114,"Criehaven, ME"
712,"Crisfield, MD"
185,"Cuttyhunk Harbor, MA"
778,"Darien, GA"
603,"Deep Creek, Accomack County, VA"
238,"Delaware Bay, DE, Harbor of Refuge"
160,"Dorchester Bay, MA"
168,"Duxbury, MA"
348,"East Chester Creek, NY"
351,"East River, NY"
101,"Eastport, ME"
2105,"Eau Gallie, FL"
345,"Echo Bay Harbor, NY"
760,"Edenton, NC"
184,"Edgartown, MA"
391,"Elizabeth River, NJ"
189,"Fall River, MA"
177,"Falmouth, MA"
784,"Fernandina Beach, FL"
320,"Fivemile River Harbor, CT"
354,"Flushing Bay and Creek, NY"
2161,"Fort Pierce, FL"
158,"Fort Point Channel, MA"
772,"Georgetown, SC"
515,"Glen Cove, NY"
143,"Gloucester, MA"
360,"Gowanus Creek Channel, NY"
382,"Great Kills Harbor, Staten Island, NY"
300,"Great Salt Pond, Block Island, RI"
1175,"Green Harbor, MA"
527,"Greenport, NY"
319,"Greenwich, CT"
307,"Guilford, CT"
393,"Hackensack River, NJ"
1167,"Hampton, NH"
358,"Harlem River, NY"
303,"Hay, NY"
514,"Hempstead, NY"
126,"Hendricks, ME"
165,"Hingham Harbor, MA"
738,"Hopewell, VA"
733,"Horn Harbor, VA"
5396,"Hudson River Channel, NY and NJ"
5395,"Hudson River, NY (Lower Section)"
519,"Huntington, NY"
176,"Hyannis, MA"
154,"Island End River, MA"
137,"Isle of Shoals Harbor, ME and NH"
2017,"Jacksonville, FL"
367,"Jamaica Bay, NY"
2111,"Key West, FL"
377,"Keyport Harbor, NJ"
1324,"Lagoon Pond, Martha's Vineyard, MA"
535,"Lake Montauk Harbor, NY"
344,"Larchmont Harbor, NY"
381,"Lemon Creek, Staten Island, NY"
558,"Little Egg Harbor, NJ"
347,"Long Island Sound at City Island, NY"
708,"Lowes Wharf, Talbot County, MD"
148,"Lynn, MA"
155,"Malden River, MA"
343,"Mamaroneck Harbor, NY"
144,"Manchester, MA"
349,"Manhasset Bay, NY"
1250,"Manns, NC"
147,"Marblehead, MA"
5251,"Marcus Hook, PA"
113,"Matinicus, ME"
186,"Mattapoisett, MA"
523,"Mattituck, NY"
2106,"Melbourne, FL"
2109,"Miami River, FL"
2164,"Miami, FL"
310,"Milford, CT"
725,"Monroe Bay and Creek, VA"
764,"Morehead City, NC"
1234,"Muddy Hook and Tyler Coves, MD"
153,"Mystic River, MA"
433,"Nanticoke, MD"
183,"Nantucket, MA"
161,"Neponset River, MA"
187,"New Bedford, MA"
299,"New Castle, DE"
