pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2330.0,0,0,0,0,2
2340.0,0,"1,375",0,0,0
2350.0,0,0,0,8,0
2429.0,0,0,0,83,"3,331"
3219.0,0,0,0,284,0
3220.0,0,0,0,174,0
3230.0,0,0,0,290,0
3240.0,0,0,0,616,0
3250.0,0,0,0,425,0
3260.0,0,0,0,"1,345",0
3272.0,0,0,0,218,0
3274.0,0,0,0,21,0
3275.0,0,0,0,"2,855",0
3276.0,0,0,0,765,5
3279.0,0,0,0,122,0
3281.0,0,0,0,43,317
3282.0,0,0,0,164,9
3283.0,0,0,0,19,0
3284.0,0,0,0,5,0
3285.0,0,0,0,747,0
3286.0,0,0,0,"7,030",150
3292.0,0,0,0,147,0
3297.0,0,0,0,"2,793",0
3299.0,0,0,0,531,0
4110.0,0,0,0,126,0
4161.0,0,"43,400","192,100",0,148
4170.0,0,"286,005","273,977","26,341","134,361"
4189.0,0,0,0,12,"3,832"
4225.0,0,0,0,0,"12,720"
4331.0,0,"255,093","134,808",562,0
4782.0,0,0,0,106,0
4900.0,0,0,0,23,0
5120.0,0,0,0,"8,199",271
5190.0,0,0,0,"2,104",43
5220.0,0,0,0,"35,717",0
5240.0,0,0,0,103,601
5290.0,0,0,0,"11,050",0
5312.0,0,0,0,106,0
5315.0,0,0,0,231,0
5320.0,0,0,0,"2,459",0
5330.0,0,0,0,"1,226",0
5360.0,0,0,0,"6,092",1
5370.0,0,0,0,"11,892",1
5390.0,0,0,0,460,0
5421.0,0,0,0,809,0
5422.0,0,0,0,"1,423",0
5429.0,0,0,0,295,9
5480.0,0,0,0,"6,551","1,039"
5540.0,0,0,0,0,113
6134.0,0,0,0,1,14
6654.0,0,0,0,"1,501",0
6747.0,0,0,0,63,0
6781.0,0,0,0,146,0
6811.0,0,0,0,0,4
6857.0,0,0,0,0,"3,679"
6858.0,0,0,0,21,0
6885.0,0,0,0,102,0
6888.0,0,0,0,1,0
6889.0,0,0,0,173,22
6893.0,0,0,0,0,393
7110.0,0,0,0,"50,781","5,472"
7120.0,0,0,0,"4,879","1,056"
7210.0,0,0,0,"43,031","1,020"
7220.0,0,"6,716",0,"11,579",6
7230.0,0,0,0,105,100
7400.0,0,0,0,32,350
7500.0,0,0,0,"41,898",19
7600.0,0,0,0,"16,951","1,383"
7900.0,0,0,0,"36,051","3,900"
9900.0,0,0,0,"2,536","3,664"
